#Epoch 2020.0
#ETRS-TM35FIN		WGS84
#East	North	Longitudi	Latitudi	Karttaruutu	D [aste]	Vuot.muutos [aste/vuosi]	Paikkakunta
 110000	6612000	 20.11082	 59.46443	K23442	 6.99	 0.19	
  98000	6624000	 19.87809	 59.56006	K24331	 6.82	 0.19	
 110000	6624000	 20.08886	 59.57141	K24332	 6.97	 0.19	
  98000	6636000	 19.85531	 59.66698	K24341	 6.78	 0.19	
 110000	6636000	 20.06674	 59.67838	K24342	 6.90	 0.19	
  86000	6648000	 19.62043	 59.76211	K24412	 6.62	 0.18	Ruotsi Längden
  74000	6660000	 19.38422	 59.85679	K24421	 6.52	 0.19	Ruotsi Tjärven
  86000	6660000	 19.59664	 59.86897	K24422	 6.59	 0.19	
  98000	6648000	 19.83236	 59.77389	K24431	 6.72	 0.19	Lemland Lågskär
 110000	6648000	 20.04446	 59.78534	K24432	 6.79	 0.19	Lemland Kalvskär
  98000	6660000	 19.80923	 59.88080	K24441	 6.64	 0.19	Lemland Lågskär
 110000	6660000	 20.02200	 59.89230	K24442	 6.68	 0.19	Lemland Bredgadden
 122000	6612000	 20.32110	 59.47539	K31221	 7.12	 0.18	
 134000	6612000	 20.53153	 59.48602	K31222	 7.23	 0.19	
 146000	6612000	 20.74212	 59.49631	K31241	 7.30	 0.19	
 158000	6612000	 20.95286	 59.50626	K31242	 7.35	 0.19	
 170000	6612000	 21.16374	 59.51587	K31421	 7.38	 0.19	
 182000	6612000	 21.37475	 59.52515	K31422	 7.40	 0.19	
 194000	6600000	 21.60310	 59.42680	K31431	 7.40	 0.19	
 206000	6600000	 21.81371	 59.43536	K31432	 7.44	 0.19	
 194000	6612000	 21.58591	 59.53408	K31441	 7.43	 0.19	
 206000	6612000	 21.79719	 59.54267	K31442	 7.47	 0.19	
 122000	6624000	 20.29980	 59.58242	K32111	 7.08	 0.19	
 134000	6624000	 20.51089	 59.59309	K32112	 7.17	 0.19	
 122000	6636000	 20.27834	 59.68944	K32121	 6.99	 0.19	
 134000	6636000	 20.49010	 59.70015	K32122	 7.06	 0.19	
 146000	6624000	 20.72214	 59.60342	K32131	 7.24	 0.19	
 158000	6624000	 20.93354	 59.61342	K32132	 7.29	 0.19	
 146000	6636000	 20.70201	 59.71053	K32141	 7.12	 0.20	Kökar Karlbybådan
 158000	6636000	 20.91408	 59.72057	K32142	 7.17	 0.19	Kökar Kökars Ören
